#RESOURCE=yCat_35860049
#Name: J/A+A/586/A49
#Title: r- and s- process elements in Milky Way disk (Battistini+, 2016)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_586_A49_abundances:
#Name: J/A+A/586/A49/abundances
#Title: Stellar parameters, abundances (table4), and single line abundances (table3)
#---Details of Columns:
#    Teff (K)       (I4)    Effective temperature [ucd=phys.temperature.effective]
#    [Fe/H] ([Sun]) (F5.2)  Abundance ratio Fe/H normalised to Sun [ucd=phys.abund]
#    [Eu/H] ([Sun]) (F5.2)  ? Abundance ratio Eu/H normalised to Sun [ucd=phys.abund]
#---- ----- -----
#     [Fe/  [Eu/ 
#Teff H] ([ H] ([
#(K)  Sun]) Sun])
#---- ----- -----
5894 -0.86 -0.53
6051 -1.43 0
5595  0.07 0
5030 -0.07 0
5055 -0.74 0
5901 -0.73 -0.42
6154  0.11  0.03
5048 -0.50 0
5629 -0.44 -0.15
6140 -1.75 0
5779  0.10  0.13
6456 -0.61 0
5379 -1.25 -0.75
5322 -0.58 -0.31
5427 -0.45 -0.19
5364 -0.62 -0.43
5786 -0.63 -0.38
5996 -0.70 -0.48
6076 -0.42 0
5875  0.00 -0.09
5624 -0.13  0.17
5006 -0.13 0
5660 -0.22 0
5169 -0.66 0
5803  0.31 0
6503 -0.10 0
5692 -0.76 0
5436 -0.44 0
6043 -1.82 0
5848  0.07  0.06
6368 -0.70 0
5698 -0.12 0
5761 -0.02  0.11
5823 -0.64 -0.36
5928 -0.05 -0.17
5790 -0.65 -0.33
5637 -0.59 -0.18
5797  0.09 -0.05
5484 -1.30 0
5471 -0.67 -0.39
5869 -0.75 -0.40
5318 -0.35 -0.19
6268 -0.62 -0.18
5513 -0.35 -0.16
6398 -0.67 0
5045 -0.03 0
6374 -0.56 -0.24
4864 -0.11 0
5198 -0.52 0
5749 -1.51 -1.12
6077 -0.94 0
5854 -0.11 -0.10
5695 -0.81 -0.44
5881 -0.81 -0.37
4977 -1.39 0
5065 -1.46 0
5814  0.06  0.11
5703  0.26 0
5200 -0.19 -0.19
5844 -0.54 0
6447 -0.46 -0.17
5698 -0.32 -0.10
6455 -0.66 -0.34
6099 -0.64 -0.40
6067 -0.07  0.05
5782 -0.16  0.10
5658 -2.62 0
5708 -0.67 0
6208  0.08  0.26
5777 -0.88 -0.33
5556  0.22  0.20
5702 -0.91 -0.50
5766 -0.47 -0.12
5841 -0.11  0.07
5471 -0.08 -0.06
5761 -0.27  0.01
5249 -1.03 -0.58
5940  0.37  0.30
5825  0.07  0.13
4937  0.25 0
6211 -0.33 -0.02
5492 -0.77 0
5767 -0.06 -0.01
5679  0.07  0.02
5680 -0.09  0.03
4900 -0.44 0
5413 -0.68 0
5918  0.08 0
5630 -0.70 -0.43
5858 -0.70 -0.31
6143 -0.01  0.02
5330  0.01 -0.03
6006 -0.31  0.02
5773 -0.58 -0.48
5717  0.25 0
5748 -0.50  0.12
5746 -0.44 -0.19
6112 -0.66 0
5594 -0.03  0.03
5333 -0.32 -0.08
5692  0.24 0
6057 -0.55 -0.26
5365  0.07  0.01
5322 -0.08  0.05
5994 -0.30 -0.04
5865 -0.49 -0.15
5854 -0.17 -0.11
5906 -0.07  0.02
6416 -0.35  0.01
5722 -0.29 -0.01
5608 -0.24 0
6271  0.14  0.31
6193 -0.23 -0.05
5371 -0.56 0
5941  0.30 0
5306 -0.25  0.10
5669 -0.39 -0.04
5915 -0.50  0.01
5387 -0.08 -0.01
5686 -0.70 0
6064 -0.39 -0.29
5648  0.00 0
5030 -0.13 -0.17
6500  0.21 0
6535 -0.61 0
5782  0.10  0.14
5760 -0.81 -0.40
5671  0.03  0.12
5609 -0.23 -0.09
5986 -1.85 0
5894  0.29 0
5709 -1.57 0
5616  0.13  0.18
5726 -0.03  0.02
6135 -0.33 -0.13
5923 -0.12 -0.04
5664 -0.86 0
5357  0.11  0.07
5765  0.02  0.01
5887  0.12 0
5424 -1.34 -0.83
5794 -0.40 -0.12
5637  0.28 0
5870 -0.02  0.05
5670  0.01 -0.03
5721  0.06  0.16
5894  0.05  0.10
6229 -1.57 0
5384 -0.35 0
5846 -0.08  0.00
5751 -0.53 -0.21
5398 -0.06 0
6037 -0.50 -0.26
5497 -0.14  0.09
5242  0.27  0.10
6015 -0.99 0
5253 -0.21 0
5741 -0.47 -0.13
6459  0.19  0.28
5263 -0.26 -0.20
5718  0.22 0
6432 -0.20  0.03
5830 -0.27  0.04
5208  0.20 -0.09
5538 -0.29 -0.12
4907 -0.26 0
5481  0.11  0.10
5717 -0.21  0.07
5765 -0.69 -0.28
6084  0.07 -0.03
5833 -0.10 -0.04
5841 -0.56 -0.19
5966 -2.31 0
5547 -0.07 -0.01
5879 -0.73 0
5715  0.22 0
5656  0.15  0.14
6368 -0.62 -0.41
6365  0.24 0
5747 -0.17  0.04
5852 -0.17  0.21
5759 -0.51 0
5639  0.41 0
5577 -0.22  0.08
5806 -0.02  0.05
5394  0.13  0.09
6462  0.10 0
5541  0.11  0.15
5710  0.06 0
5607 -0.23  0.01
5713  0.20 0
5638 -0.03  0.06
5628  0.11  0.06
5944  0.12  0.14
5379 -1.69 0
5718 -1.14 0
6500 -0.49 -0.17
5572  0.26 0
6361  0.05 0
5340  0.06  0.12
5493 -0.09 0
5612 -0.37 -0.07
5682  0.17 0
5635  0.37 0
5828 -0.22  0.09
5804 -0.29 -0.11
6537 -0.68 0
5416 -0.53 -0.25
6043 -0.26 0
5857  0.08 0
5748  0.03  0.04
6117 -0.58 0
5643  0.24  0.23
5712 -0.01  0.02
5933  0.13 -0.09
6009 -1.05 -0.53
5718 -0.48 -0.26
5594 -0.24 0
5514 -0.25 -0.12
5351  0.11  0.04
5845 -0.25 -0.12
5948 -0.04 -0.02
5625 -0.32 -0.08
5843 -0.61 0
5856 -1.11 0
5853 -0.66 -0.29
4993 -0.31 0
5940  0.14  0.06
6023  0.33 0
5694  0.26 0
5713 -0.26 -0.18
5650 -0.29 -0.13
6493 -0.54 0
5724 -0.24 0
6127  0.11  0.06
5835  0.04  0.03
5947 -0.01  0.08
5964  0.15  0.10
5902 -0.44 -0.30
5802 -0.51 -0.41
5973 -1.08 -0.66
6148 -0.04  0.02
6246 -0.19 0
5804  0.05 0
6706 -0.21  0.00
5689  0.06  0.15
