###########################################################################
# Data from Schruba et al. (2011)
# Digitized by S. Ploeckinger from fig. A1
# Distances for individual galaxies from NED (mean/stdev from literature)
# column 1: galaxy
# column 2: mean distance to the galaxy from NED [Mpc]
# column 3: standard deviation from distance measurements [Mpc]
# column 4: radial distance of 15 arcseconds shell [arcseconds]
# column 5: HI surface density [Msol / pc-2]
# column 6: H2 surface density [Msol / pc-2]
# column 7: flag for H2 measurements: 0 ... high significance measurement
#                                     1 ... marginal significance
#                                     2 ... 3 sigma upper limit
###########################################################################
NGC2146	19.55	8.16	157.5	0.72	0.57	2
NGC2146	19.55	8.16	172.5	0.61	0.51	2
NGC2146	19.55	8.16	187.5	0.49	0.58	2
NGC2146	19.55	8.16	202.5	0.59	0.57	2
NGC2146	19.55	8.16	217.5	0.62	0.61	2
NGC2146	19.55	8.16	232.5	0.74	0.65	2
NGC2146	19.55	8.16	247.5	0.57	0.70	2
NGC2146	19.55	8.16	262.5	0.52	0.95	2
NGC2146	19.55	8.16	277.5	0.79	1.01	2
NGC2146	19.55	8.16	292.5	0.76	1.98	2
NGC2146	19.55	8.16	307.5	nan	nan	nan
NGC2146	19.55	8.16	322.5	nan	nan	nan
NGC2146	19.55	8.16	337.5	nan	nan	nan
NGC2146	19.55	8.16	352.5	nan	nan	nan
NGC2146	19.55	8.16	367.5	nan	nan	nan
NGC2146	19.55	8.16	382.5	nan	nan	nan
NGC2146	19.55	8.16	397.5	nan	nan	nan
NGC2403	3.40	0.61	7.5	4.74	nan	2
NGC2403	3.40	0.61	22.5	6.59	10.45	0
NGC2403	3.40	0.61	37.5	7.04	9.16	0
NGC2403	3.40	0.61	52.5	7.20	7.20	0
NGC2403	3.40	0.61	67.5	7.04	4.96	0
NGC2403	3.40	0.61	82.5	7.86	5.91	0
NGC2403	3.40	0.61	97.5	7.04	5.07	0
NGC2403	3.40	0.61	112.5	6.89	3.57	0
NGC2403	3.40	0.61	127.5	7.36	2.74	0
NGC2403	3.40	0.61	142.5	7.36	2.02	0
NGC2403	3.40	0.61	157.5	7.86	2.20	0
NGC2403	3.40	0.61	172.5	8.21	2.30	0
NGC2403	3.40	0.61	187.5	8.21	1.77	0
NGC2403	3.40	0.61	202.5	9.36	1.77	0
NGC2403	3.40	0.61	217.5	9.78	1.93	0
NGC2403	3.40	0.61	232.5	9.78	1.89	0
NGC2403	3.40	0.61	247.5	8.96	1.42	0
NGC2403	3.40	0.61	262.5	9.78	1.19	0
NGC2403	3.40	0.61	277.5	9.36	1.12	0
NGC2403	3.40	0.61	292.5	8.77	1.17	1
NGC2403	3.40	0.61	307.5	8.03	0.96	2
NGC2403	3.40	0.61	322.5	8.58	1.22	1
NGC2403	3.40	0.61	337.5	8.39	1.19	2
NGC2403	3.40	0.61	352.5	8.39	1.33	2
NGC2403	3.40	0.61	367.5	7.04	1.39	2
NGC2403	3.40	0.61	382.5	7.20	1.69	2
NGC2403	3.40	0.61	397.5	6.74	1.93	2
NGC2798	24.83	5.21	7.5	0.58	nan	2
NGC2798	24.83	5.21	22.5	0.43	5.89	0
NGC2798	24.83	5.21	37.5	0.27	1.33	1
NGC2798	24.83	5.21	52.5	0.34	4.90	0
NGC2798	24.83	5.21	67.5	0.27	5.65	0
